"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"SCI","INE109A01011","Shipping Corporation Of India Limited","13-Aug-1997","10","10","1","-"
"FDC","INE258B01022","FDC Limited","07-Aug-1997","1","1","1","-"
"DENORA","INE244A01016","De Nora India Limited","07-Aug-1997","10","10","1","-"
"GUJALKALI","INE186A01019","Gujarat Alkalies and Chemicals Limited","07-Aug-1997","10","10","1","-"
"SAREGAMA","INE979A01017","Saregama India Limited","30-Jul-1997","10","10","1","-"
"MADRASFERT","INE414A01015","Madras Fertilizers Limited","25-Jul-1997","10","10","1","-"
"EASUNREYRL","INE268C01029","Easun Reyrolle Limited","23-Jul-1997","2","2","1","-"
"ORIENTBANK","INE141A01014","Oriental Bank of Commerce","02-Jul-1997","10","10","1","-"
"INDSWFTLAB","INE915B01019","Ind-Swift Laboratories Limited","02-Jul-1997","10","10","1","-"
"KCPSUGIND","INE790B01024","KCP Sugar and Industries Corporation Limited","11-Jun-1997","1","1","1","-"
"ADANIENT","INE423A01024","Adani Enterprises Limited","04-Jun-1997","1","1","1","-"
"TCIFINANCE","INE911B01018","TCI Finance Limited","21-May-1997","10","10","1","-"
"DCMFINSERV","INE891B01012","DCM Financial Services Limited","21-May-1997","10","10","1","-"
"INDNIPPON","INE092B01025","India Nippon Electricals Limited","07-May-1997","5","5","1","-"
"CONCOR","INE111A01017","Container Corporation of India Limited","07-May-1997","10","10","1","-"
"BANKINDIA","INE084A01016","Bank of India","30-Apr-1997","10","10","1","-"
"LEEL","INE245C01019","LEEL Electricals Limited","30-Apr-1997","10","10","1","-"
"INDRAMEDCO","INE681B01017","Indraprastha Medical Corporation Limited","17-Apr-1997","10","10","1","-"
"KCP","INE805C01028","KCP Limited","09-Apr-1997","1","1","1","-"
"RAMCOCEM","INE331A01037","The Ramco Cements Limited","09-Apr-1997","1","1","1","-"
"GAIL","INE129A01019","GAIL (India) Limited","02-Apr-1997","10","10","1","-"
"SKMEGGPROD","INE411D01015","SKM Egg Products Export (India) Limited","14-Mar-1997","10","10","1","-"
"BLUECHIP","INE657B01025","Blue Chip India Limited","12-Mar-1997","2","2","1","-"
"BANKBARODA","INE028A01039","Bank of Baroda","19-Feb-1997","2","2","1","-"
"DENABANK","INE077A01010","Dena Bank","15-Jan-1997","10","10","1","-"
"HINDALCO","INE038A01020","Hindalco Industries Limited","08-Jan-1997","1","1","1","-"
"INDIANCARD","INE061A01014","Indian Card Clothing Company Limited","08-Jan-1997","10","10","1","-"
"HCL-INSYS","INE236A01020","HCL Infosystems Limited","01-Jan-1997","2","2","1","-"
"SRTRANSFIN","INE721A01013","Shriram Transport Finance Company Limited","11-Dec-1996","10","10","1","-"
"HERITGFOOD","INE978A01027","Heritage Foods Limited","27-Nov-1996","5","5","1","-"
"ACC","INE012A01025","ACC Limited","20-Nov-1996","10","10","1","-"
"SHREYANIND","INE231C01019","Shreyans Industries Limited","06-Nov-1996","10","10","1","-"
"RAMCOIND","INE614A01028","Ramco Industries Limited","06-Nov-1996","1","1","1","-"
"KOTHARIPET","INE720A01015","Kothari Petrochemicals Limited","02-Nov-1996","10","10","1","-"
"HDFC","INE001A01036","Housing Development Finance Corporation Limited","23-Oct-1996","2","2","1","-"
"ATLASCYCLE","INE446A01025","Atlas Cycles (Haryana) Limited","23-Oct-1996","5","5","1","-"
"RUCHINFRA","INE413B01023","Ruchi Infrastructure Limited","16-Oct-1996","1","1","1","-"
"GUJRAFFIA","INE610B01024","Gujarat Raffia Industries Limited","09-Oct-1996","10","10","1","-"
"SKIL","INE429F01012","SKIL Infrastructure Limited","09-Oct-1996","10","10","1","-"
"WALCHANNAG","INE711A01022","Walchandnagar Industries Limited","18-Sep-1996","2","2","1","-"
"MRF","INE883A01011","MRF Limited","18-Sep-1996","10","10","1","-"
"BINDALAGRO","INE143A01010","Oswal Chemicals & Fertilizers Limited","28-Aug-1996","10","10","1","-"
"VISAKAIND","INE392A01013","Visaka Industries Limited","28-Aug-1996","10","10","1","-"
"SOMATEX","INE314C01013","Soma Textiles & Industries Limited","14-Aug-1996","10","10","1","-"
"MOTHERSUMI","INE775A01035","Motherson Sumi Systems Limited","14-Aug-1996","1","1","1","-"
"GODFRYPHLP","INE260B01028","Godfrey Phillips India Limited","24-Jul-1996","2","2","1","-"
"IOC","INE242A01010","Indian Oil Corporation Limited","24-Jul-1996","10","10","1","-"
"SUNDRMBRAK","INE073D01013","Sundaram Brake Linings Limited","17-Jul-1996","10","10","1","-"
"SANGAMIND","INE495C01010","Sangam (India) Limited","17-Jul-1996","10","10","1","-"
"ZENITHEXPO","INE058B01018","Zenith Exports Limited","10-Jul-1996","10","10","1","-"
"EASTSILK","INE962C01027","Eastern Silk Industries Limited","03-Jul-1996","2","2","1","-"
"INDHOTEL","INE053A01029","The Indian Hotels Company Limited","03-Jul-1996","1","1","1","-"
"KEYCORPSER","INE681C01015","Keynote Corporate Services Limited","26-Jun-1996","10","10","1","-"
"NORBTEAEXP","INE369C01017","Norben Tea & Exports Limited","26-Jun-1996","10","10","1","-"
"BIOFILCHEM","INE829A01014","Biofil Chemicals & Pharmaceuticals Limited","12-Jun-1996","10","10","1","-"
"REGENCERAM","INE277C01012","Regency Ceramics Limited","05-Jun-1996","10","10","1","-"
"SAMBHAAV","INE699B01027","Sambhaav Media Limited","05-Jun-1996","1","1","1","-"
"KAMATHOTEL","INE967C01018","Kamat Hotels (I) Limited","29-May-1996","10","10","1","-"
"DHARSUGAR","INE988C01014","Dharani Sugars & Chemicals Limited","22-May-1996","10","10","1","-"
"SILINV","INE923A01015","SIL Investments Limited","22-May-1996","10","10","1","-"
"CHOLAFIN","INE121A01016","Cholamandalam Investment and Finance Company Limited","15-May-1996","10","10","1","-"
"HINDCOMPOS","INE310C01029","Hindustan Composites Limited","08-May-1996","5","5","1","-"
"GICHSGFIN","INE289B01019","GIC Housing Finance Limited","08-May-1996","10","10","1","-"
"MARICO","INE196A01026","Marico Limited","01-May-1996","1","1","1","-"
"CUBEXTUB","INE144D01012","Cubex Tubings Limited","24-Apr-1996","10","10","1","-"
"MERCK","INE199A01012","Merck Limited","24-Apr-1996","10","10","1","-"
"ALPSINDUS","INE093B01015","Alps Industries Limited","24-Apr-1996","10","10","1","-"
"PANACEABIO","INE922B01023","Panacea Biotec Limited","17-Apr-1996","1","1","1","-"
"AUSOMENT","INE218C01016","Ausom Enterprise Limited","17-Apr-1996","10","10","1","-"
"JAYAGROGN","INE785A01026","Jayant Agro Organics Limited","17-Apr-1996","5","5","1","-"
"EIMCOELECO","INE158B01016","Eimco Elecon (India) Limited","17-Apr-1996","10","10","1","-"
"MOHOTAIND","INE313D01013","Mohota Industries Limited","10-Apr-1996","10","10","100","-"
"ALOKTEXT","INE270A01011","Alok Industries Limited","10-Apr-1996","10","10","1","-"
"BBTC","INE050A01025","Bombay Burmah Trading Corporation Limited","03-Apr-1996","2","2","1","-"
"NBVENTURES","INE725A01022","Nava Bharat Ventures Limited","03-Apr-1996","2","2","1","-"
"HOTELRUGBY","INE275F01019","Hotel Rugby Limited","03-Apr-1996","10","10","1","-"
"IFBAGRO","INE076C01018","IFB Agro Industries Limited","03-Apr-1996","10","10","1","-"
"CARBORUNIV","INE120A01034","Carborundum Universal Limited","03-Apr-1996","1","1","1","-"
"PVP","INE362A01016","PVP Ventures Limited","03-Apr-1996","10","10","1","-"
"TATAPOWER","INE245A01021","Tata Power Company Limited","03-Apr-1996","1","1","1","-"
"PREMIER","INE342A01018","Premier Limited","03-Apr-1996","10","10","1","-"
"AEGISCHEM","INE208C01025","Aegis Logistics Limited","03-Apr-1996","1","1","1","-"
"BHARATGEAR","INE561C01019","Bharat Gears Limited","03-Apr-1996","10","10","1","-"
"CORALFINAC","INE558D01021","Coral India Finance & Housing Limited","25-Mar-1996","2","2","100","-"
"GREENPLY","INE461C01038","Greenply Industries Limited","06-Mar-1996","1","1","1","-"
"TNPL","INE107A01015","Tamil Nadu Newsprint & Papers Limited","14-Feb-1996","10","10","1","-"
"SPMLINFRA","INE937A01023","SPML Infra Limited","14-Feb-1996","2","2","1","-"
"REMSONSIND","INE474C01015","Remsons Industries Limited","31-Jan-1996","10","10","1","-"
"EUROTEXIND","INE022C01012","Eurotex Industries and Exports Limited","31-Jan-1996","10","10","1","-"
"SHANTIGEAR","INE631A01022","Shanthi Gears Limited","17-Jan-1996","1","1","1","-"
"NOCIL","INE163A01018","NOCIL Limited","17-Jan-1996","10","10","1","-"
"DALMIASUG","INE495A01022","Dalmia Bharat Sugar and Industries Limited","17-Jan-1996","2","2","1","-"
"INDLMETER","INE065B01013","IMP Powers Limited","10-Jan-1996","10","10","1","-"
"APOLLOHOSP","INE437A01024","Apollo Hospitals Enterprise Limited","10-Jan-1996","5","5","1","-"
"SPIC","INE147A01011","Southern Petrochemicals Industries Corporation  Limited","10-Jan-1996","10","10","1","-"
"M&M","INE101A01026","Mahindra & Mahindra Limited","03-Jan-1996","5","5","1","-"
"JAYBARMARU","INE571B01028","Jay Bharat Maruti Limited","03-Jan-1996","5","5","1","-"
"KREBSBIO","INE268B01013","Krebs Biochemicals and Industries Limited","03-Jan-1996","10","10","1","-"
"MANGLMCEM","INE347A01017","Mangalam Cement Limited","03-Jan-1996","10","10","1","-"
"NATCOPHARM","INE987B01026","Natco Pharma Limited","27-Dec-1995","2","2","1","-"
"PETRONENGG","INE742A01019","Petron Engineering Construction Limited","27-Dec-1995","10","10","1","-"
"KHAITANLTD","INE731C01018","Khaitan (India) Limited","20-Dec-1995","10","10","1","-"
"SREINFRA","INE872A01014","SREI Infrastructure Finance Limited","20-Dec-1995","10","10","1","-"
"KOTAKBANK","INE237A01028","Kotak Mahindra Bank Limited","20-Dec-1995","5","5","1","-"
"PREMIERPOL","INE309M01012","Premier Polyfilm Limited","13-Dec-1995","5","5","1","-"
"KAKATCEM","INE437B01014","Kakatiya Cement Sugar & Industries Limited","13-Dec-1995","10","10","1","-"
"STINDIA","INE090C01019","STI India Limited","06-Dec-1995","10","10","1","-"
"SWARAJENG","INE277A01016","Swaraj Engines Limited","06-Dec-1995","10","10","1","-"
"BIRLACABLE","INE800A01015","Birla Cable Limited","06-Dec-1995","10","10","1","-"
"HINDDORROL","INE551A01022","Hindustan Dorr-Oliver Limited","06-Dec-1995","2","2","1","-"
"RELCAPITAL","INE013A01015","Reliance Capital Limited","29-Nov-1995","10","10","1","-"
"RIIL","INE046A01015","Reliance Industrial Infrastructure Limited","29-Nov-1995","10","10","1","-"
"RELIANCE","INE002A01018","Reliance Industries Limited","29-Nov-1995","10","10","1","-"
"ELGIEQUIP","INE285A01027","Elgi Equipments Limited","22-Nov-1995","1","1","1","-"
"SOMANYCERA","INE355A01028","Somany Ceramics Limited","22-Nov-1995","2","2","1","-"
"HDFCBANK","INE040A01026","HDFC Bank Limited","08-Nov-1995","2","2","1","-"
"WIPRO","INE075A01022","Wipro Limited","08-Nov-1995","2","2","1","-"
"NILKAMAL","INE310A01015","Nilkamal Limited","01-Nov-1995","10","10","1","-"
"ESABINDIA","INE284A01012","Esab India Limited","01-Nov-1995","10","10","1","-"
"ANDHRSUGAR","INE715B01013","The Andhra Sugars Limited","01-Nov-1995","10","10","1","-"
"DELTAMAGNT","INE393A01011","Delta Magnets Limited","18-Oct-1995","10","10","1","-"
"RAYMOND","INE301A01014","Raymond Limited","18-Oct-1995","10","10","1","-"
"ARENTERP","INE610C01014","Rajdarshan Industries Limited","18-Oct-1995","10","10","100","-"
"TOKYOPLAST","INE932C01012","Tokyo Plast International Limited","11-Oct-1995","10","10","1","-"
"PEARLPOLY","INE844A01013","Pearl Polymers Limited","11-Oct-1995","10","10","1","-"
"BHARATRAS","INE838B01013","Bharat Rasayan Limited","11-Oct-1995","10","10","1","-"
"PRAJIND","INE074A01025","Praj Industries Limited","11-Oct-1995","2","2","1","-"
"LIBERTSHOE","INE557B01019","Liberty Shoes Limited","27-Sep-1995","10","10","1","-"
"ZODIACLOTH","INE206B01013","Zodiac Clothing Company Limited","27-Sep-1995","10","10","1","-"
"TIL","INE806C01018","TIL Limited","27-Sep-1995","10","10","1","-"
"ASHAPURMIN","INE348A01023","Ashapura Minechem Limited","20-Sep-1995","2","2","1","-"
"IDBI","INE008A01015","IDBI Bank Limited","20-Sep-1995","10","10","1","-"
"BPCL","INE029A01011","Bharat Petroleum Corporation Limited","13-Sep-1995","10","10","1","-"
"IVP","INE043C01018","IVP Limited","13-Sep-1995","10","10","1","-"
"UCALFUEL","INE139B01016","Ucal Fuel Systems Limited","13-Sep-1995","10","10","1","-"
"STARPAPER","INE733A01018","Star Paper Mills Limited","13-Sep-1995","10","10","1","-"
"APCOTEXIND","INE116A01024","Apcotex Industries Limited","06-Sep-1995","5","5","1","-"
"GSFC","INE026A01025","Gujarat State Fertilizers & Chemicals Limited","06-Sep-1995","2","2","1","-"
"PRECWIRE","INE372C01029","Precision Wires India Limited","06-Sep-1995","5","5","1","-"
"KABRAEXTRU","INE900B01029","Kabra Extrusion Technik Limited","06-Sep-1995","5","5","1","-"
"SAKHTISUG","INE623A01011","Sakthi Sugars Limited","06-Sep-1995","10","10","1","-"
"LUMAXIND","INE162B01018","Lumax Industries Limited","06-Sep-1995","10","10","1","-"
"SIEMENS","INE003A01024","Siemens Limited","06-Sep-1995","2","2","1","-"
"KESORAMIND","INE087A01019","Kesoram Industries Limited","06-Sep-1995","10","10","1","-"
"THERMAX","INE152A01029","Thermax Limited","30-Aug-1995","2","2","1","-"
"OILCOUNTUB","INE591A01010","Oil Country Tubular Limited","30-Aug-1995","10","10","1","-"
"DICIND","INE303A01010","DIC India Limited","30-Aug-1995","10","10","1","-"
"INDIANHUME","INE323C01030","Indian Hume Pipe Company Limited","30-Aug-1995","2","2","1","-"
"METALFORGE","INE425A01011","Metalyst Forgings Limited","23-Aug-1995","10","10","1","-"
"ITC","INE154A01025","ITC Limited","23-Aug-1995","1","1","1","-"
"GMBREW","INE075D01018","GM Breweries Limited","23-Aug-1995","10","10","1","-"
"UFLEX","INE516A01017","UFLEX Limited","23-Aug-1995","10","10","1","-"
"GTNIND","INE537A01013","GTN Industries Limited","02-Aug-1995","10","10","1","-"
"ASHIMASYN","INE440A01010","Ashima Limited","27-Jul-1995","10","10","1","-"
"TAINWALCHM","INE123C01018","Tainwala Chemical and Plastic (I) Limited","27-Jul-1995","10","10","1","-"
"MANGTIMBER","INE805B01012","Mangalam Timber Products Limited","27-Jul-1995","10","10","1","-"
"BSL","INE594B01012","BSL Limited","27-Jul-1995","10","10","1","-"
"HOTELEELA","INE102A01024","Hotel Leela Venture Limited","19-Jul-1995","2","2","1","-"
"3PLAND","INE105C01023","3P Land Holdings Limited","19-Jul-1995","2","2","1","-"
